word,segmentation,related_words
tyrant,,autocrat
respectively,re.spec.tive.ly,re.spec.tive; re.spect; spect; successive
sovereignty,sover.eign.ty,super; sovereign; sover
authoritarian,author.i.tar.ian,authority; honorarium
coinage,,
flex,,re.flex
extradition,ex.tradition,
propaganda,,propagate
ardent,,ardour; arduous
chilly,chi.lly,chi.lli
debacle,de.bac.le,
concoct,,
praise,,appraise; appraisal
narrative,narr.ative,narr.ow; narr
warfare,,
disparate,dis.par.ate,dis.par.age; dis.par.ity; des.per.ate
scene,,
scenery,,scene
obscene,ob.sc.ene,sc.ene
in unison,,uni.son
roadster,road.ster,drag.ster; drag; ster
dragster,,
predict,,augur; well
delegate,de.leg.ate,re.leg.ate
premier,pre.mi.er,pre.mi.ere; primer
abbot,,Albert; monastery
cirrus,,cumulus
whetstone,whet.stone,wheat; grindstone
ratchet,,sprocket; hatchet; ratch; match
coral,,corral; carol
implicit,im.plicit,ex.plicit; im.plic.ate; tacit; plicit
morph,,
oversee,,
autocrat,auto.crat,autocracy
collegiate,col.legi.ate,col.legi.al; legi.on; col.lege; lege
collegial,coll.eg.i.al,coll.eg.i.ate
averse,,adverse; effect; conditions; publicity
mere,,
prologue,,epi.logue; ec.logue; dialogue; opening; logue; denouement
couple,,
coupled,,couple
assertive,as.sert.ive,in.sert; de.sert; sert
undergo,,
crumb,,crumb.le
crumble,crumb.le,crump.le; bumb.le; crump; bumb; crumb
spat,,spatter
utter,,
clairvoyant,,envoy; voyage; voyeur
wrench,,wretched; spanner
wrinkle,wr.ink.le,cr.ink.le; wring; wink
nevertheless,,
snap,,
dilettante,di.let.tan.te,
unintended,un.intend.ed,intent; intend
toehold,,uphold
tentative,tenta.tive,tenta.cle; tenta
reconciliation,re.con.cili.ation,con.cili.ate; re.con; council; reconciliate; silly; sily
resurgent,,re.sur.rect; in.sur.gent
orchestrate,,chest
whereabouts,,
en route,,en.route; route; router
tack,,
envoy,en.voy,en.vy; con.voy; voy.age; voy.eur; entourage; retinue
impose,im.pose,im.post.or; pro.pose; de.pose; re.pose; dis.pose; pose
accessible,,
walk-up,,
secret,se.cret,se.cret.ary; con.crete; crete
